,Actions0,Actions1,Actions2,Actions3,Actions4,Actions5
342,1,0,0,1,2,0
343,1,0,0,1,2,0
344,1,0,0,1,2,0
345,1,0,0,1,2,0
346,1,0,0,1,2,0
347,1,0,0,1,2,0
348,1,0,0,1,2,0
349,1,0,0,1,2,0
350,1,0,0,1,2,0
351,1,0,0,1,2,0
352,1,0,0,1,2,0
353,1,0,0,1,2,0
354,1,0,0,1,2,0
355,1,0,0,1,2,0
356,1,0,0,1,2,0
357,1,0,0,1,2,0
358,1,0,0,1,2,0
359,1,0,0,1,2,0
360,1,0,0,1,2,0
361,1,0,0,1,2,0
362,1,0,0,1,2,0
363,1,0,0,1,2,0
364,1,0,0,1,2,0
365,1,0,0,1,2,0
366,1,0,0,1,2,0
367,1,0,0,1,2,0
368,1,0,0,1,2,0
369,1,0,0,1,2,0
370,1,0,0,1,2,0
371,1,0,0,1,2,0
372,1,0,0,1,2,0
373,1,0,0,1,2,0
374,1,0,0,0,0,2
375,2,0,0,1,0,2
376,2,0,0,1,0,2
377,2,2,1,0,0,2
378,2,0,0,1,0,2
379,2,0,0,1,0,2
380,2,0,0,1,0,2
381,2,0,0,1,0,2
382,2,0,0,1,0,2
383,2,0,0,1,0,2
384,2,0,0,1,0,2
385,2,0,0,1,0,2
386,2,0,0,1,0,2
387,2,0,0,1,0,2
388,2,0,0,1,0,2
389,2,0,0,1,0,2
390,2,0,0,1,0,2
391,2,0,0,1,0,2
392,2,0,0,1,0,2
393,2,0,0,1,0,2
394,2,0,0,1,0,2
395,2,0,0,1,0,2
396,2,0,0,1,0,2
397,2,0,0,1,0,2
398,2,0,0,1,0,2
399,2,0,0,1,0,2
400,2,0,0,1,0,2
401,2,0,0,1,0,2
402,2,0,0,1,0,2
403,2,0,0,1,0,2
404,2,0,0,1,0,2
405,2,0,0,1,0,2
406,2,0,0,1,0,2
407,2,0,0,1,0,2
408,2,0,0,1,0,2
409,2,0,0,1,0,2
410,2,0,0,1,0,2
411,2,0,0,1,0,2
412,2,0,0,1,0,2
413,2,0,0,1,0,2
414,2,0,0,1,0,2
415,2,0,0,1,0,2
416,2,0,0,1,0,2
417,2,0,0,1,0,2
418,2,0,0,1,0,2
419,2,0,0,1,0,2
420,2,0,0,1,0,2
421,2,0,0,1,0,2
422,2,0,0,1,0,2
423,2,0,0,1,0,2
424,2,0,0,1,0,2
425,2,0,0,1,0,2
426,2,0,0,1,0,2
427,2,0,0,1,0,2
428,2,0,0,1,0,2
429,2,0,0,1,0,2
430,2,0,0,1,0,2
431,2,0,0,1,0,2
432,2,0,0,1,0,2
433,2,0,0,1,0,2
434,2,0,0,1,0,2
435,2,0,0,1,0,2
436,2,0,0,1,0,2
437,2,0,0,1,0,2
438,2,0,0,1,0,2
439,2,0,0,1,0,2
440,2,0,0,1,0,2
441,2,0,0,1,0,2
442,2,0,0,1,0,2
443,2,0,0,1,0,2
444,2,0,0,1,0,2
445,2,0,0,1,0,2
446,2,0,0,1,0,2
447,2,0,0,1,0,2
448,2,0,0,1,0,2
449,2,0,0,1,0,2
450,2,0,0,1,0,2
451,2,0,0,1,0,2
452,2,0,0,1,0,2
453,2,0,0,1,0,2
454,2,0,0,1,0,2
455,2,0,0,1,0,2
456,2,0,0,1,0,2
457,2,0,0,1,0,2
458,2,0,0,1,0,2
459,2,0,0,1,0,2
460,2,0,0,1,0,2
461,2,0,0,1,0,2
462,2,0,0,1,0,2
463,2,0,0,1,0,2
464,2,0,0,1,0,2
465,2,0,0,1,0,2
466,2,0,0,1,0,2
467,2,0,0,1,0,2
468,0,2,2,1,0,0
469,2,2,1,2,1,1
470,2,2,1,2,1,1
471,2,2,1,2,1,1
472,2,2,1,2,1,1
473,2,2,1,2,1,1
474,2,2,1,2,1,1
475,2,2,1,2,1,1
476,2,2,1,2,1,1
477,2,2,1,2,1,1
478,2,2,1,2,1,1
479,2,2,1,2,1,1
480,2,2,1,2,1,1
481,2,2,1,2,1,1
482,2,2,1,2,1,1
483,2,2,1,2,1,1
484,2,2,1,2,1,1
485,2,2,1,2,1,1
486,2,2,1,2,1,1
487,2,2,1,2,1,1
488,2,2,1,2,1,1
489,2,2,1,2,1,1
490,2,2,1,2,1,1
491,2,2,1,2,1,1
492,2,2,1,2,1,1
493,2,2,1,2,1,1
494,2,2,1,2,1,1
495,2,2,1,2,1,1
496,2,2,1,2,1,1
497,2,2,0,2,0,0
498,0,2,2,2,0,0
499,0,2,2,2,0,0
500,0,2,2,2,0,0
501,0,2,2,2,0,0
502,0,2,2,2,0,0
503,0,2,2,2,0,0
504,0,2,2,2,0,0
505,0,2,2,2,0,0
506,0,2,2,2,0,0
507,0,2,2,2,0,0
508,0,2,2,2,0,0
509,0,2,2,2,0,0
510,0,2,2,2,0,0
511,0,2,2,2,0,0
512,0,2,2,2,0,0
513,0,2,2,2,0,0
514,0,2,2,2,0,0
515,0,2,2,2,0,0
516,0,2,2,2,0,0
517,0,2,2,2,0,0
518,0,2,2,2,0,0
519,0,2,2,2,0,0
520,0,2,2,2,0,0
521,0,2,2,2,0,0
522,0,2,2,2,0,0
523,2,2,1,0,0,0
524,0,2,2,2,0,0
525,2,2,1,2,1,1
526,2,2,1,2,1,1
527,0,2,2,2,0,0
528,2,2,1,2,1,1
529,0,2,2,2,0,0
530,0,2,2,2,0,0
531,0,2,2,2,0,0
532,0,2,2,2,0,0
533,0,2,2,2,0,0
534,0,2,2,2,0,0
535,0,2,2,2,0,0
536,0,2,2,2,0,0
537,0,2,2,2,0,0
538,0,2,2,2,0,0
539,0,2,2,2,0,0
540,0,2,2,2,0,0
541,0,2,2,2,0,0
542,0,2,2,2,0,0
543,0,2,2,2,0,0
544,0,2,2,2,0,0
545,0,2,2,2,0,0
546,0,2,2,2,0,0
547,0,2,2,2,0,0
548,0,2,2,2,0,0
549,0,2,2,2,0,0
550,0,2,2,2,0,0
551,0,2,2,2,0,0
552,0,2,2,2,0,0
553,0,2,2,2,0,0
554,0,2,2,2,0,0
555,0,2,2,2,0,0
556,0,2,2,2,0,0
557,0,2,2,2,0,0
558,0,2,2,2,0,0
559,0,2,2,2,0,0
560,0,2,2,2,0,0
561,0,2,2,2,0,0
562,0,2,2,2,0,0
563,0,2,2,2,0,0
564,0,2,2,2,0,0
565,0,2,2,2,0,0
566,0,2,2,2,0,0
567,0,2,2,2,0,0
568,0,2,2,2,0,0
569,0,2,2,2,0,0
570,0,2,2,2,0,0
571,0,2,2,2,0,0
572,0,2,2,2,0,0
573,0,2,2,2,0,0
574,0,2,2,2,0,0
575,0,2,2,2,0,0
576,0,2,2,2,0,0
577,0,2,2,2,0,0
578,0,2,2,2,0,0
579,0,2,2,2,0,0
580,0,2,2,2,0,0
581,0,2,2,2,0,0
582,0,2,2,2,0,0
583,0,2,2,2,0,0
584,0,2,2,2,0,0
585,0,2,2,2,0,0
586,0,2,2,2,0,0
587,0,2,2,2,0,0
588,0,2,2,2,0,0
589,0,2,2,2,0,0
590,0,2,2,2,0,0
591,0,2,2,2,0,0
592,0,2,2,2,0,0
593,0,2,2,2,0,0
594,0,2,2,2,0,0
595,0,2,2,2,0,0
596,0,2,2,2,0,0
597,0,2,2,2,0,0
598,0,2,2,2,0,0
599,0,2,2,2,0,0
600,0,2,2,2,0,0
601,0,2,2,2,0,0
602,0,2,2,2,0,0
603,0,2,2,2,0,0
604,0,2,2,2,0,0
605,0,2,2,2,0,0
606,0,2,2,2,0,0
607,0,2,2,2,0,0
608,0,2,2,2,0,0
609,0,2,2,2,0,0
610,0,2,2,2,0,0
611,0,2,2,2,0,0
612,0,2,2,2,0,0
613,0,2,2,2,0,0
614,0,2,2,2,0,0
615,0,2,2,2,0,0
616,0,2,2,2,0,0
617,0,2,2,2,0,0
618,0,2,2,2,0,0
619,0,2,2,2,0,0
620,0,2,2,2,0,0
621,0,2,2,2,0,0
622,0,2,2,2,0,0
623,0,2,2,2,0,0
624,0,2,2,2,0,0
625,0,2,2,2,0,0
626,0,2,2,2,0,0
627,0,2,2,2,0,0
628,0,2,2,2,0,0
629,2,2,1,2,0,1
630,0,2,2,2,0,0
631,0,2,2,2,0,0
632,0,2,2,2,0,0
633,0,2,2,2,0,0
634,0,2,2,2,0,0
635,0,2,2,2,0,0
636,0,2,2,2,0,0
637,0,2,2,2,0,0
638,0,2,2,2,0,0
639,0,2,2,2,0,0
640,0,2,2,2,0,0
641,0,2,2,2,0,0
642,0,2,2,2,0,0
643,0,2,2,2,0,0
644,0,2,2,2,0,0
645,0,2,2,2,0,0
646,0,2,2,2,0,0
647,0,2,2,2,0,0
648,0,2,2,2,0,0
649,0,2,2,2,0,0
650,0,2,2,2,0,0
651,0,2,2,2,0,0
652,0,2,2,2,0,0
653,0,2,2,2,0,0
654,0,2,2,2,0,0
655,0,2,2,2,0,0
656,0,2,2,2,0,0
657,0,2,2,2,0,0
658,0,2,2,2,0,0
659,0,2,2,2,0,0
660,0,2,2,2,0,0
661,0,2,2,2,0,0
662,0,2,2,2,0,0
663,0,2,2,2,0,0
664,0,2,2,2,0,0
665,0,2,2,2,0,0
666,0,2,2,2,0,0
667,0,2,2,2,0,0
668,0,2,2,2,0,0
669,0,2,2,2,0,0
670,0,2,2,2,0,0
671,0,2,2,2,0,0
672,0,2,2,2,0,0
673,0,2,2,2,0,0
674,0,2,2,2,0,0
675,0,2,2,2,0,0
676,0,2,2,2,0,0
677,0,2,2,2,0,0
678,0,2,2,2,0,0
679,0,2,2,2,0,0
680,0,2,2,2,0,0
681,0,2,2,2,0,0
682,0,2,2,2,0,0
683,0,2,2,2,0,0
684,0,2,2,2,0,0
685,0,2,2,2,0,0
686,0,2,2,2,0,0
687,0,2,2,2,0,0
688,0,2,2,2,0,0
689,0,2,2,2,0,0
690,0,2,2,2,0,0
691,0,2,2,2,0,0
692,0,2,2,2,0,0
693,0,2,2,2,0,0
694,0,2,2,2,0,0
695,0,2,2,2,0,0
696,0,2,2,2,0,0
697,0,2,2,2,0,0
698,0,2,2,2,0,0
699,0,2,2,2,0,0
700,0,2,2,2,0,0
701,0,2,2,2,0,0
702,0,2,2,2,0,0
703,0,2,2,2,0,0
704,2,0,2,2,1,1
705,0,2,2,2,0,0
706,0,2,2,2,0,0
707,0,2,2,2,0,0
708,0,2,2,2,0,0
709,0,2,2,2,0,0
710,0,2,2,2,0,0
711,0,2,2,2,0,0
712,0,2,2,2,0,0
713,0,2,2,2,0,0
714,2,2,0,1,1,1
715,0,2,2,2,0,0
716,0,2,2,2,0,0
717,0,2,2,2,0,0
718,0,2,2,2,0,0
719,0,2,2,2,0,0
720,0,2,2,2,0,0
721,0,2,2,2,0,0
722,0,2,2,2,0,0
723,0,2,2,2,0,0
724,0,2,2,2,0,0
725,0,2,2,2,0,0
726,0,2,2,2,0,0
727,0,2,2,2,0,0
728,0,2,2,2,0,0
729,0,2,2,2,0,0
730,0,2,2,2,0,0
731,0,2,2,2,0,0
732,0,2,2,2,0,0
733,0,2,2,2,0,0
734,0,2,2,2,0,0
735,0,2,2,2,0,0
736,0,2,2,2,0,0
737,0,2,2,2,0,0
738,0,2,2,2,0,0
739,0,2,2,2,0,0
740,0,2,2,2,0,0
741,0,2,2,2,0,0
742,0,2,2,2,0,0
743,0,2,2,2,0,0
744,0,2,2,2,0,0
745,0,2,2,2,0,0
746,0,2,2,2,0,0
747,0,2,2,2,0,0
748,0,2,2,2,0,0
749,0,2,2,2,0,0
750,0,2,2,2,0,0
751,0,2,2,2,0,0
752,0,2,2,2,0,0
753,0,2,2,2,0,0
754,0,2,2,2,0,0
755,0,2,2,2,0,0
756,0,2,2,2,0,0
757,0,2,2,2,0,0
758,0,2,2,2,0,0
759,0,2,2,2,0,0
760,0,2,2,2,0,0
761,0,2,2,2,0,0
762,0,2,2,2,0,0
763,0,2,2,2,0,0
764,0,2,2,2,0,0
765,0,0,1,1,1,1
766,0,2,2,2,0,0
767,0,2,2,2,0,0
768,0,2,2,2,0,0
769,0,2,2,2,0,0
770,0,2,2,2,0,0
771,0,2,2,2,0,0
772,0,2,2,2,0,0
773,0,2,2,2,0,0
774,0,2,2,2,0,0
775,0,2,2,2,0,0
776,0,2,2,2,0,0
777,0,2,2,2,0,0
778,0,2,2,2,0,0
779,0,2,2,2,0,0
780,0,2,2,2,0,0
781,0,2,2,2,0,0
782,0,2,2,2,0,0
783,0,2,2,2,0,0
784,0,2,2,2,0,0
785,0,2,2,2,0,0
786,0,2,2,2,0,0
787,0,2,2,2,0,0
788,0,2,2,2,0,0
789,0,2,2,2,0,0
790,0,2,2,2,0,0
791,0,2,2,2,0,0
792,0,2,2,2,0,0
793,0,2,2,2,0,0
794,0,2,2,2,0,0
795,0,2,2,2,0,0
796,0,2,2,2,0,0
797,0,2,2,2,0,0
798,0,2,2,2,0,0
799,0,2,2,2,0,0
800,0,2,2,2,0,0
801,0,2,2,2,0,0
802,0,2,2,2,0,0
803,0,2,2,2,0,0
804,0,2,2,2,0,0
805,0,2,2,2,0,0
806,0,2,2,2,0,0
807,0,2,2,2,0,0
808,0,2,2,2,0,0
809,0,2,2,2,0,0
810,0,2,2,2,0,0
811,0,2,2,2,0,0
812,0,2,2,2,0,0
813,0,2,2,2,0,0
814,0,2,2,2,0,0
815,0,2,2,2,0,0
816,0,2,2,2,0,0
817,0,2,2,2,0,0
818,0,2,2,2,0,0
819,0,2,2,2,0,0
820,0,2,2,2,0,0
821,0,2,2,2,0,0
822,0,2,2,2,0,0
823,0,2,2,2,0,0
824,0,2,2,2,0,0
825,0,2,2,2,0,0
826,0,2,2,2,0,0
827,0,2,2,2,0,0
828,0,2,2,2,0,0
829,0,2,2,2,0,0
830,0,2,2,2,0,0
831,0,2,2,2,0,0
832,0,2,2,2,0,0
833,0,2,2,2,0,0
834,0,2,2,2,0,0
835,0,2,2,2,0,0
836,0,2,2,2,0,0
837,0,2,2,2,0,0
838,0,2,2,2,0,0
839,0,2,2,2,0,0
840,0,2,2,2,0,0
841,0,2,2,2,0,0
842,0,2,2,2,0,0
843,0,2,2,2,0,0
844,0,2,2,2,0,0
845,0,2,2,2,0,0
846,0,2,2,2,0,0
847,0,2,2,2,0,0
848,0,2,2,2,0,0
849,0,2,2,2,0,0
850,0,2,2,2,0,0
851,0,2,2,2,0,0
852,0,2,2,2,0,0
853,0,2,2,2,0,0
854,0,2,2,2,0,0
855,0,2,2,2,0,0
856,0,2,2,2,0,0
857,0,2,2,2,0,0
858,0,2,2,2,0,0
859,0,2,2,2,0,0
860,0,2,2,2,0,0
861,0,2,2,2,0,0
862,0,2,2,2,0,0
863,0,2,2,2,0,0
864,0,2,2,2,0,0
865,0,2,2,2,0,0
866,0,2,2,2,0,0
867,0,2,2,2,0,0
868,0,2,2,2,0,0
869,0,2,2,2,0,0
870,0,2,2,2,0,0
871,0,2,2,2,0,0
872,0,2,2,2,0,0
873,0,2,2,2,0,0
874,0,2,2,2,0,0
875,0,2,2,2,0,0
876,0,2,2,2,0,0
877,0,2,2,2,0,0
